random_row,city,lat,temp,humidity,cloudiness,wind speed
210,vagur,61.47,49.91,91.0,85.0,11.77
278,chapais,49.78,82.4,45.0,1.0,9.17
413,tacoronte,28.48,71.01,82.0,40.0,16.11
356,mariental,-25.72,61.5,77.0,75.0,9.17
22,mataura,-46.19,41.0,95.0,60.0,3.0
104,kajaani,64.22,60.8,48.0,0.0,9.17
118,sierra vista,31.55,90.86,13.0,1.0,19.46
205,ilhabela,-23.78,67.37,92.0,100.0,22.75
449,bantou,26.22,71.87,98.0,100.0,2.59
23,cabrero,-37.04,53.1,71.0,20.0,14.99
483,aripuana,-9.17,93.29,40.0,35.0,1.25
269,corinto,3.17,86.0,51.0,40.0,4.7
107,terney,45.05,53.15,99.0,98.0,0.47
219,sorland,67.67,50.0,93.0,75.0,14.99
188,yerbogachen,61.28,61.61,56.0,71.0,8.79
90,lebu,8.96,59.0,87.0,75.0,2.24
404,san quintin,17.54,75.47,86.0,16.0,2.51
272,kisangani,0.52,77.63,66.0,26.0,1.45
410,butaritari,3.07,83.57,70.0,70.0,6.69
374,alihe,50.57,49.55,94.0,100.0,3.13
276,kapenguria,1.25,68.99,69.0,36.0,4.23
59,mar del plata,-46.43,36.41,59.0,0.0,11.45
230,souillac,45.6,88.57,41.0,0.0,10.29
211,vieques,18.43,88.32,62.0,90.0,13.87
259,kitale,1.02,59.45,92.0,42.0,2.64
545,qabaqcol,41.72,80.6,42.0,20.0,13.87
78,santa cruz,-6.22,85.19,49.0,29.0,9.89
236,ekhabi,53.51,46.13,95.0,4.0,17.47
15,kapaa,22.08,79.21,74.0,75.0,3.36
416,pochutla,15.74,89.94,59.0,75.0,5.32
486,dennery,13.9,79.56,88.0,75.0,9.17
75,sobolevo,54.43,52.79,86.0,65.0,9.66
546,wuwei,37.93,74.03,19.0,34.0,11.95
396,huanren,41.26,60.17,98.0,11.0,4.9
463,denpasar,-8.65,77.0,94.0,20.0,10.29
386,phan thiet,10.93,72.59,94.0,9.0,4.29
157,bowen,-20.01,66.6,88.0,90.0,12.75
474,general roca,-39.03,44.6,75.0,75.0,3.36
362,mehamn,71.03,47.12,81.0,75.0,6.93
275,willowmore,-33.3,49.91,44.0,19.0,3.67
559,verkhnyaya inta,65.99,69.89,62.0,38.0,8.88
373,bonthe,7.53,78.89,86.0,99.0,11.01
328,namikupa,-10.84,68.81,76.0,1.0,3.44
263,kulhudhuffushi,6.62,83.39,76.0,83.0,10.63
